# Table
# meta={"__class__": "Table", "column_dtypes": {"name": "|O", "phi_rad_ccs": "<f8", "psi_rad_ccs": "<f8", "theta_gon_ccs": "<f8", "theta_rad": "<f8", "x_ccs": "<f8", "y_ccs": "<f8", "z_ccs": "<f8"}, "xtrack_version": "0.112.0"}
name,x_ccs,y_ccs,z_ccs,theta_gon_ccs,phi_rad_ccs,psi_rad_ccs,theta_rad
qwl.x0610056.u,686.6263214983155,4659.730301683041,2441.5502754180943,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
qwl.x0610056.d,687.1616668607987,4662.629285682547,2441.5492202024166,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xchv.x0610058.u,687.2244991184036,4662.969532786966,2441.549096354172,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
xchv.x0610058.d,687.406095238649,4663.952905921126,2441.548738411269,11.625270878478295,-0.00035794291056024736,6.393182416004664e-06,0.18260932793909387
mbxha.x0610061.u,687.492353300463,4664.420007643774,2441.5485683885777,11.625270232501814,0.0012292120894073168,6.393186836379136e-06,0.18260931779211903
mbxha.x0610061.d,687.9463432622329,4666.878438783973,2441.5516414180274,11.625270232501816,0.001229212089407317,6.393186836379137e-06,0.18260931779211906
mbxha.x0610064.u,688.0916193850042,4667.6651331924795,2441.553894505764,11.625268940538035,0.004403522089342445,6.393243992066078e-06,0.18260929749799945
mbxha.x0610064.d,688.5456052382065,4670.123542363485,2441.564903275409,11.625268940538035,0.004403522089342445,6.393243992066079e-06,0.18260929749799945
mbxha.x0610067.u,688.6908793143213,4670.910225778408,2441.569695782127,11.625267648538136,0.007577832089277571,6.393365570408143e-06,0.1826092772033125
mbxha.x0610067.d,689.1448564844876,4673.368588208709,2441.58864018104,11.625267648538134,0.007577832089277571,6.393365570408142e-06,0.18260927720331246
xchv.x0610070.u,689.2311109007063,4673.835670349099,2441.592993484153,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
xchv.x0610070.d,689.4126993460056,4674.819002257407,2441.6021583429374,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610072.u,689.4755289480792,4675.159235097682,2441.605329384077,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610072.d,690.0108516848214,4678.058097563375,2441.6323473877737,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
mcxca.x0610074.u,690.1167631455422,4678.631625898895,2441.63769279166,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
mcxca.x0610074.d,690.1893985236619,4679.0249586622185,2441.6413587351735,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610080.u,690.9845289285162,4683.330723255724,2441.6814893605765,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610080.d,691.5198516652584,4686.229585721417,2441.7085073642734,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610096.u,693.833651635262,4698.759200897081,2441.825285994906,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
qwl.x0610096.d,694.3689743720042,4701.658063362775,2441.852303998603,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
mcxca.x0610098.u,694.4499628186077,4702.09662939388,2441.856391525621,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
mcxca.x0610098.d,694.5225981967274,4702.489962157203,2441.8600574691345,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
xvw.x0610102.u,695.184473368637,4706.0741272993355,2441.8934626369223,11.625267002516505,0.009164987089245133,6.393450519862283e-06,0.18260926705562847
